0.762000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.765000	0.254000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.626000	0.530000	0.357000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.540000	0.367000	0.567000	0.338000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.432000	0.278000	0.463000	0.477000	0.452000	0.000000	0.000000	0.000000	0.000000	0.000000
0.311000	0.221000	0.368000	0.383000	0.505000	0.412000	0.000000	0.000000	0.000000	0.000000
0.251000	0.126000	0.319000	0.317000	0.464000	0.331000	0.592000	0.000000	0.000000	0.000000
0.189000	0.102000	0.243000	0.261000	0.370000	0.257000	0.426000	0.485000	0.000000	0.000000
0.156000	0.058000	0.181000	0.191000	0.290000	0.193000	0.339000	0.278000	0.529000	0.000000
0.066000	0.049000	0.084000	0.134000	0.241000	0.130000	0.309000	0.240000	0.293000	0.582000
