0.807808	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.732733	0.628743	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.654655	0.595808	0.568862	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.579580	0.488024	0.577844	0.657658	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.513514	0.497006	0.580838	0.678679	0.418398	0.000000	0.000000	0.000000	0.000000	0.000000
0.510511	0.383234	0.502994	0.609610	0.442136	0.353474	0.000000	0.000000	0.000000	0.000000
0.417417	0.356287	0.500000	0.567568	0.430267	0.380665	0.420420	0.000000	0.000000	0.000000
0.417417	0.302395	0.437126	0.534535	0.400593	0.371601	0.465465	0.313253	0.000000	0.000000
0.366366	0.269461	0.413174	0.531532	0.373887	0.329305	0.456456	0.352410	0.244776	0.000000
0.336336	0.287425	0.341317	0.522523	0.391691	0.305136	0.438438	0.349398	0.280597	0.208459
