0.807808	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.804805	0.769461	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.783784	0.760479	0.772455	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.738739	0.691617	0.808383	0.822823	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.753754	0.721557	0.811377	0.843844	0.688427	0.000000	0.000000	0.000000	0.000000	0.000000
0.753754	0.649701	0.742515	0.822823	0.718101	0.658610	0.000000	0.000000	0.000000	0.000000
0.717718	0.667665	0.757485	0.804805	0.703264	0.619335	0.765766	0.000000	0.000000	0.000000
0.711712	0.586826	0.736527	0.849850	0.688427	0.679758	0.765766	0.689759	0.000000	0.000000
0.696697	0.625749	0.715569	0.810811	0.703264	0.658610	0.789790	0.650602	0.528358	0.000000
0.723724	0.610778	0.694611	0.795796	0.727003	0.628399	0.771772	0.713855	0.594030	0.586103
