0.750000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.636000	0.325000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.550000	0.228000	0.469000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.512000	0.202000	0.422000	0.323000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.412000	0.147000	0.324000	0.231000	0.572000	0.000000	0.000000	0.000000	0.000000	0.000000
0.269000	0.082000	0.186000	0.144000	0.351000	0.575000	0.000000	0.000000	0.000000	0.000000
0.247000	0.063000	0.166000	0.103000	0.318000	0.538000	0.397000	0.000000	0.000000	0.000000
0.229000	0.053000	0.158000	0.097000	0.289000	0.467000	0.359000	0.387000	0.000000	0.000000
0.203000	0.035000	0.141000	0.084000	0.257000	0.467000	0.302000	0.341000	0.295000	0.000000
0.179000	0.032000	0.117000	0.070000	0.229000	0.446000	0.279000	0.340000	0.274000	0.239000
