[(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************

### Creating new features  task: 0 ###
New features norm: 3.693
------------------------------------------------------------------------------------------------------------
>>> Train on task  0 : loss=0.000 | TAw acc= 99.7%, forg=  0.0%| TAg acc= 99.7%, forg=  0.0% <<<
>>> Test on task  0 : loss=0.000 | TAw acc= 99.6%, forg=  0.0%| TAg acc= 99.6%, forg=  0.0% <<<
Save at ../results/mnist_evo_02.24/5x2/10k2_alpha=1000
************************************************************************************************************
Task  1
************************************************************************************************************
### Training model task: 1 ###
Epoch: 27, Total: 5.09, Push: 0.11, Pull: 4.39, Adapter: 0.001, Wd: 0.02 Old: 3.85 Old pull: 3.74 Old push: 0.12 New: 2.58 New pull: 2.40 New push: 0.18 
Epoch: 28, Total: 5.07, Push: 0.11, Pull: 4.36, Adapter: 0.001, Wd: 0.02 Old: 3.83 Old pull: 3.71 Old push: 0.12 New: 2.58 New pull: 2.40 New push: 0.18 
Epoch: 29, Total: 5.06, Push: 0.11, Pull: 4.34, Adapter: 0.001, Wd: 0.02 Old: 3.80 Old pull: 3.68 Old push: 0.12 New: 2.56 New pull: 2.37 New push: 0.18 
Epoch: 30, Total: 5.04, Push: 0.12, Pull: 4.32, Adapter: 0.001, Wd: 0.02 Old: 3.76 Old pull: 3.64 Old push: 0.12 New: 2.53 New pull: 2.34 New push: 0.19 
Epoch: 31, Total: 5.02, Push: 0.12, Pull: 4.29, Adapter: 0.001, Wd: 0.02 Old: 3.70 Old pull: 3.57 Old push: 0.12 New: 2.53 New pull: 2.35 New push: 0.19 
Epoch: 32, Total: 5.01, Push: 0.12, Pull: 4.27, Adapter: 0.001, Wd: 0.02 Old: 3.67 Old pull: 3.54 Old push: 0.12 New: 2.51 New pull: 2.32 New push: 0.19 
Epoch: 33, Total: 4.99, Push: 0.12, Pull: 4.25, Adapter: 0.001, Wd: 0.02 Old: 3.65 Old pull: 3.52 Old push: 0.12 New: 2.52 New pull: 2.32 New push: 0.19 
Epoch: 34, Total: 4.98, Push: 0.12, Pull: 4.22, Adapter: 0.001, Wd: 0.02 Old: 3.57 Old pull: 3.45 Old push: 0.12 New: 2.48 New pull: 2.28 New push: 0.20 
Epoch: 35, Total: 4.96, Push: 0.12, Pull: 4.20, Adapter: 0.001, Wd: 0.02 Old: 3.56 Old pull: 3.43 Old push: 0.13 New: 2.44 New pull: 2.24 New push: 0.20 
Epoch: 36, Total: 4.95, Push: 0.12, Pull: 4.18, Adapter: 0.001, Wd: 0.02 Old: 3.52 Old pull: 3.40 Old push: 0.13 New: 2.40 New pull: 2.20 New push: 0.20 
Epoch: 37, Total: 4.93, Push: 0.12, Pull: 4.16, Adapter: 0.001, Wd: 0.02 Old: 3.49 Old pull: 3.36 Old push: 0.13 New: 2.38 New pull: 2.18 New push: 0.20 
Epoch: 38, Total: 4.92, Push: 0.12, Pull: 4.14, Adapter: 0.001, Wd: 0.02 Old: 3.45 Old pull: 3.32 Old push: 0.13 New: 2.36 New pull: 2.15 New push: 0.20 
Epoch: 39, Total: 4.90, Push: 0.12, Pull: 4.11, Adapter: 0.001, Wd: 0.02 Old: 3.48 Old pull: 3.35 Old push: 0.13 New: 2.35 New pull: 2.14 New push: 0.21 
Epoch: 40, Total: 4.88, Push: 0.12, Pull: 4.09, Adapter: 0.001, Wd: 0.02 Old: 3.42 Old pull: 3.29 Old push: 0.13 New: 2.31 New pull: 2.10 New push: 0.21 
Epoch: 41, Total: 4.87, Push: 0.12, Pull: 4.07, Adapter: 0.001, Wd: 0.02 Old: 3.36 Old pull: 3.23 Old push: 0.13 New: 2.29 New pull: 2.09 New push: 0.21 
Epoch: 42, Total: 4.86, Push: 0.12, Pull: 4.05, Adapter: 0.001, Wd: 0.02 Old: 3.32 Old pull: 3.19 Old push: 0.13 New: 2.28 New pull: 2.07 New push: 0.21 
Epoch: 43, Total: 4.84, Push: 0.12, Pull: 4.03, Adapter: 0.001, Wd: 0.02 Old: 3.28 Old pull: 3.14 Old push: 0.14 New: 2.25 New pull: 2.04 New push: 0.21 
Epoch: 44, Total: 4.83, Push: 0.13, Pull: 4.01, Adapter: 0.001, Wd: 0.02 Old: 3.28 Old pull: 3.15 Old push: 0.13 New: 2.27 New pull: 2.05 New push: 0.21 
Epoch: 45, Total: 4.81, Push: 0.13, Pull: 3.99, Adapter: 0.001, Wd: 0.02 Old: 3.24 Old pull: 3.10 Old push: 0.14 New: 2.22 New pull: 2.00 New push: 0.22 
Epoch: 46, Total: 4.80, Push: 0.13, Pull: 3.97, Adapter: 0.001, Wd: 0.02 Old: 3.22 Old pull: 3.08 Old push: 0.14 New: 2.18 New pull: 1.96 New push: 0.22 
Epoch: 47, Total: 4.78, Push: 0.13, Pull: 3.95, Adapter: 0.001, Wd: 0.02 Old: 3.19 Old pull: 3.05 Old push: 0.14 New: 2.17 New pull: 1.94 New push: 0.22 
Epoch: 48, Total: 4.77, Push: 0.13, Pull: 3.93, Adapter: 0.001, Wd: 0.02 Old: 3.15 Old pull: 3.01 Old push: 0.14 New: 2.13 New pull: 1.90 New push: 0.22 
Epoch: 49, Total: 4.75, Push: 0.13, Pull: 3.91, Adapter: 0.001, Wd: 0.02 Old: 3.10 Old pull: 2.96 Old push: 0.14 New: 2.12 New pull: 1.89 New push: 0.23 
Epoch: 50, Total: 4.74, Push: 0.13, Pull: 3.89, Adapter: 0.001, Wd: 0.02 Old: 3.11 Old pull: 2.97 Old push: 0.14 New: 2.12 New pull: 1.89 New push: 0.23 
Epoch: 51, Total: 4.73, Push: 0.13, Pull: 3.87, Adapter: 0.001, Wd: 0.02 Old: 3.09 Old pull: 2.94 Old push: 0.14 New: 2.13 New pull: 1.90 New push: 0.23 
Epoch: 52, Total: 4.71, Push: 0.13, Pull: 3.85, Adapter: 0.001, Wd: 0.02 Old: 3.08 Old pull: 2.93 Old push: 0.14 New: 2.10 New pull: 1.87 New push: 0.23 
Epoch: 53, Total: 4.70, Push: 0.13, Pull: 3.83, Adapter: 0.001, Wd: 0.02 Old: 3.05 Old pull: 2.90 Old push: 0.15 New: 2.10 New pull: 1.87 New push: 0.23 
Epoch: 54, Total: 4.68, Push: 0.13, Pull: 3.82, Adapter: 0.001, Wd: 0.02 Old: 2.99 Old pull: 2.85 Old push: 0.15 New: 2.08 New pull: 1.85 New push: 0.24 
Epoch: 55, Total: 4.67, Push: 0.13, Pull: 3.80, Adapter: 0.001, Wd: 0.02 Old: 3.00 Old pull: 2.85 Old push: 0.15 New: 2.07 New pull: 1.84 New push: 0.24 
