0.823000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.764000	0.239000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.659000	0.239000	0.321000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.578000	0.157000	0.227000	0.307000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.499000	0.128000	0.191000	0.167000	0.447000	0.000000	0.000000	0.000000	0.000000	0.000000
0.467000	0.099000	0.156000	0.128000	0.230000	0.382000	0.000000	0.000000	0.000000	0.000000
0.453000	0.065000	0.141000	0.129000	0.241000	0.144000	0.464000	0.000000	0.000000	0.000000
0.412000	0.052000	0.117000	0.085000	0.201000	0.083000	0.139000	0.453000	0.000000	0.000000
0.361000	0.045000	0.101000	0.083000	0.184000	0.084000	0.093000	0.103000	0.468000	0.000000
0.340000	0.049000	0.077000	0.080000	0.156000	0.072000	0.107000	0.095000	0.114000	0.426000
