0.883117	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.857143	0.109195	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.876623	0.747126	0.048724	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.844156	0.729885	0.832947	0.109333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.840909	0.770115	0.807425	0.750667	0.154004	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.860390	0.724138	0.824826	0.696000	0.987680	0.066038	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.805195	0.706897	0.792343	0.631333	0.983573	0.786792	0.096916	0.000000	0.000000	0.000000	0.000000	0.000000
0.866883	0.701149	0.812065	0.728667	0.985626	0.839623	0.832599	0.089239	0.000000	0.000000	0.000000	0.000000
0.847403	0.712644	0.814385	0.714667	0.976386	0.815094	0.814978	0.549869	0.066038	0.000000	0.000000	0.000000
0.873377	0.701149	0.821346	0.737333	0.987680	0.822641	0.801762	0.574803	0.762972	0.104667	0.000000	0.000000
0.818182	0.724138	0.809745	0.712667	0.983573	0.845283	0.832599	0.557743	0.764151	0.729333	0.042829	0.000000
0.818182	0.643678	0.808585	0.675333	0.985626	0.839623	0.801762	0.505249	0.752358	0.668000	0.947211	0.111111
