0.808000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.329000	0.531000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.193000	0.349000	0.725000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.166000	0.191000	0.391000	0.645000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.105000	0.134000	0.208000	0.336000	0.730000	0.000000	0.000000	0.000000	0.000000	0.000000
0.065000	0.146000	0.211000	0.227000	0.331000	0.610000	0.000000	0.000000	0.000000	0.000000
0.086000	0.069000	0.156000	0.139000	0.161000	0.339000	0.702000	0.000000	0.000000	0.000000
0.144000	0.091000	0.100000	0.128000	0.123000	0.276000	0.355000	0.722000	0.000000	0.000000
0.082000	0.170000	0.057000	0.117000	0.127000	0.180000	0.240000	0.376000	0.655000	0.000000
0.136000	0.138000	0.103000	0.176000	0.103000	0.153000	0.173000	0.192000	0.309000	0.671000
