Files already downloaded and verified
Files already downloaded and verified
[(0, 10), (1, 10), (2, 10), (3, 10), (4, 10), (5, 10), (6, 10), (7, 10), (8, 10), (9, 10)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  57, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.992, TAw acc= 66.4% |
| Epoch  58, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.941, TAw acc= 71.4% |
| Epoch  59, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.962, TAw acc= 68.5% |
| Epoch  60, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.152, TAw acc= 65.8% |
| Epoch  61, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=1.066, TAw acc= 66.6% |
| Epoch  62, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.841, TAw acc= 72.9% |
| Epoch  63, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=1.046, TAw acc= 64.8% |
| Epoch  64, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.932, TAw acc= 69.3% |
| Epoch  65, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.880, TAw acc= 70.8% |
| Epoch  66, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.902, TAw acc= 70.2% |
| Epoch  67, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.885, TAw acc= 71.0% |
| Epoch  68, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.856, TAw acc= 73.5% |
| Epoch  69, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.837, TAw acc= 73.2% |
| Epoch  70, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.844, TAw acc= 71.7% |
| Epoch  71, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.947, TAw acc= 68.1% |
| Epoch  72, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.847, TAw acc= 75.2% |
| Epoch  73, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.922, TAw acc= 71.0% |
| Epoch  74, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.859, TAw acc= 72.6% |
| Epoch  75, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.901, TAw acc= 72.5% |
| Epoch  76, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.852, TAw acc= 73.8% |
| Epoch  77, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.876, TAw acc= 72.2% |
| Epoch  78, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.787, TAw acc= 74.2% |
| Epoch  79, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.854, TAw acc= 74.5% |
| Epoch  80, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.922, TAw acc= 68.9% |
| Epoch  81, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.745, TAw acc= 77.3% |
| Epoch  82, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.733, TAw acc= 76.5% |
| Epoch  83, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.723, TAw acc= 77.6% |
| Epoch  84, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.732, TAw acc= 77.6% |
| Epoch  85, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.717, TAw acc= 77.0% |
| Epoch  86, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.735, TAw acc= 77.1% |
| Epoch  87, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.722, TAw acc= 77.6% |
| Epoch  88, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.720, TAw acc= 77.7% |
| Epoch  89, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.721, TAw acc= 78.4% |
| Epoch  90, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.709, TAw acc= 77.6% |
| Epoch  91, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.714, TAw acc= 78.2% |
| Epoch  92, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.703, TAw acc= 78.2% |
| Epoch  93, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.719, TAw acc= 77.5% |
| Epoch  94, time=  0.6s | Train: skip eval | Valid: time=  0.2s loss=0.721, TAw acc= 78.0% |
| Epoch  95, time=  0.5s | Train: skip eval | Valid: time=  0.2s loss=0.720, TAw acc= 78.1% |
