0.807229	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.704819	0.868263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.680723	0.898204	0.724551	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.638554	0.808383	0.790419	0.550898	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.584337	0.760479	0.658683	0.604790	0.724551	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.548193	0.718563	0.592814	0.425150	0.754491	0.461078	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.572289	0.640719	0.634731	0.473054	0.706587	0.556886	0.602410	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.469880	0.622755	0.574850	0.371257	0.682635	0.526946	0.632530	0.682635	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.506024	0.580838	0.532934	0.383234	0.604790	0.443114	0.566265	0.718563	0.556213	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.439759	0.508982	0.514970	0.317365	0.586826	0.461078	0.566265	0.706587	0.633136	0.273810	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.427711	0.568862	0.461078	0.323353	0.544910	0.401198	0.584337	0.694611	0.568047	0.398810	0.339394	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.415663	0.562874	0.479042	0.305389	0.544910	0.347305	0.512048	0.736527	0.514793	0.327381	0.303030	0.246988	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.397590	0.508982	0.437126	0.293413	0.520958	0.425150	0.530120	0.658683	0.562130	0.315476	0.309091	0.343374	0.409639	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.361446	0.473054	0.419162	0.263473	0.538922	0.371257	0.506024	0.646707	0.579882	0.261905	0.327273	0.379518	0.596386	0.347305	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.361446	0.419162	0.395210	0.281437	0.550898	0.329341	0.518072	0.544910	0.497041	0.297619	0.303030	0.379518	0.518072	0.437126	0.345455	0.000000	0.000000	0.000000	0.000000	0.000000
0.397590	0.449102	0.425150	0.197605	0.461078	0.263473	0.451807	0.622755	0.508876	0.261905	0.303030	0.367470	0.554217	0.413174	0.381818	0.227545	0.000000	0.000000	0.000000	0.000000
0.325301	0.443114	0.401198	0.269461	0.479042	0.299401	0.427711	0.497006	0.502959	0.244048	0.296970	0.301205	0.542169	0.520958	0.418182	0.287425	0.101190	0.000000	0.000000	0.000000
0.307229	0.401198	0.329341	0.221557	0.461078	0.293413	0.487952	0.526946	0.473373	0.291667	0.315152	0.349398	0.493976	0.365269	0.436364	0.275449	0.172619	0.323353	0.000000	0.000000
0.415663	0.437126	0.323353	0.215569	0.479042	0.233533	0.506024	0.520958	0.497041	0.244048	0.315152	0.313253	0.506024	0.437126	0.381818	0.287425	0.148810	0.413174	0.066265	0.000000
0.289157	0.371257	0.335329	0.161677	0.437126	0.305389	0.481928	0.437126	0.455621	0.232143	0.266667	0.337349	0.487952	0.377246	0.387879	0.197605	0.119048	0.329341	0.096386	0.309091
