0.962406	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.954887	0.892308	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.947368	0.907692	0.963696	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.932331	0.892308	0.953795	0.876000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.939850	0.861538	0.937294	0.840000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.909774	0.907692	0.933993	0.832000	0.994413	0.940984	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.917293	0.892308	0.927393	0.801333	0.994413	0.944262	0.902857	0.000000	0.000000	0.000000	0.000000	0.000000
0.939850	0.861538	0.930693	0.772000	0.992551	0.924590	0.891429	0.724771	0.000000	0.000000	0.000000	0.000000
0.947368	0.907692	0.943894	0.837333	0.988827	0.954098	0.914286	0.752294	0.921288	0.000000	0.000000	0.000000
0.947368	0.876923	0.950495	0.848000	0.994413	0.950820	0.920000	0.761468	0.892665	0.902667	0.000000	0.000000
0.954887	0.892308	0.947195	0.834667	0.986965	0.944262	0.880000	0.715596	0.906977	0.901333	0.995423	0.000000
0.932331	0.830769	0.947195	0.772000	0.996276	0.927869	0.897143	0.761468	0.890877	0.884000	0.990847	0.915556
