0.962406	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.857143	0.876923	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.857143	0.800000	0.940594	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.849624	0.738462	0.927393	0.876000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.834586	0.692308	0.864686	0.840000	0.964618	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.789474	0.707692	0.808581	0.832000	0.906890	0.855738	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.729323	0.676923	0.834984	0.801333	0.899441	0.826230	0.822857	0.000000	0.000000	0.000000	0.000000	0.000000
0.751880	0.600000	0.851485	0.772000	0.891993	0.806557	0.800000	0.669725	0.000000	0.000000	0.000000	0.000000
0.781955	0.646154	0.788779	0.837333	0.910615	0.809836	0.760000	0.660550	0.824687	0.000000	0.000000	0.000000
0.744361	0.615385	0.775578	0.808000	0.906890	0.803279	0.782857	0.688073	0.778175	0.602667	0.000000	0.000000
0.751880	0.661538	0.759076	0.717333	0.893855	0.826230	0.760000	0.614679	0.690519	0.808000	0.922197	0.000000
0.714286	0.615385	0.805281	0.646667	0.914339	0.721311	0.691429	0.623853	0.708408	0.788000	0.858124	0.684444
