[(0, 2), (1, 2), (2, 2), (3, 2), (4, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************

### Creating new features  task: 0 ###
New features norm: 1.000
------------------------------------------------------------------------------------------------------------
>>> Train on task  0 : loss=0.000 | TAw acc= 99.6%, forg=  0.0%| TAg acc= 99.6%, forg=  0.0% <<<
>>> Test on task  0 : loss=0.000 | TAw acc= 99.7%, forg=  0.0%| TAg acc= 99.7%, forg=  0.0% <<<
Save at ../results/mnist_evo_02.26/alpha=100
************************************************************************************************************
Task  1
************************************************************************************************************
### Training model task: 1 ###
Epoch: 66, Total: 0.62, CE: 0.59, Adapter: 0.057, Wd: 0.03 
Epoch: 67, Total: 0.62, CE: 0.59, Adapter: 0.058, Wd: 0.03 
Epoch: 68, Total: 0.62, CE: 0.59, Adapter: 0.058, Wd: 0.03 
Epoch: 69, Total: 0.62, CE: 0.58, Adapter: 0.059, Wd: 0.03 
Epoch: 70, Total: 0.62, CE: 0.58, Adapter: 0.059, Wd: 0.03 
Epoch: 71, Total: 0.62, CE: 0.58, Adapter: 0.059, Wd: 0.03 
Epoch: 72, Total: 0.62, CE: 0.58, Adapter: 0.060, Wd: 0.03 
Epoch: 73, Total: 0.62, CE: 0.58, Adapter: 0.060, Wd: 0.03 
Epoch: 74, Total: 0.61, CE: 0.58, Adapter: 0.060, Wd: 0.03 
Epoch: 75, Total: 0.61, CE: 0.58, Adapter: 0.061, Wd: 0.03 
Epoch: 76, Total: 0.61, CE: 0.58, Adapter: 0.061, Wd: 0.03 
Epoch: 77, Total: 0.61, CE: 0.58, Adapter: 0.062, Wd: 0.03 
Epoch: 78, Total: 0.61, CE: 0.58, Adapter: 0.062, Wd: 0.03 
Epoch: 79, Total: 0.61, CE: 0.57, Adapter: 0.062, Wd: 0.03 
Epoch: 80, Total: 0.61, CE: 0.57, Adapter: 0.063, Wd: 0.03 
Epoch: 81, Total: 0.61, CE: 0.57, Adapter: 0.063, Wd: 0.03 
Epoch: 82, Total: 0.61, CE: 0.57, Adapter: 0.063, Wd: 0.03 
Epoch: 83, Total: 0.61, CE: 0.57, Adapter: 0.063, Wd: 0.03 
Epoch: 84, Total: 0.61, CE: 0.57, Adapter: 0.064, Wd: 0.03 
Epoch: 85, Total: 0.61, CE: 0.57, Adapter: 0.064, Wd: 0.03 
Epoch: 86, Total: 0.61, CE: 0.57, Adapter: 0.064, Wd: 0.03 
Epoch: 87, Total: 0.61, CE: 0.57, Adapter: 0.065, Wd: 0.03 
Epoch: 88, Total: 0.60, CE: 0.57, Adapter: 0.065, Wd: 0.03 
Epoch: 89, Total: 0.60, CE: 0.57, Adapter: 0.065, Wd: 0.03 
Epoch: 90, Total: 0.60, CE: 0.57, Adapter: 0.065, Wd: 0.03 
Epoch: 91, Total: 0.60, CE: 0.57, Adapter: 0.066, Wd: 0.03 
Epoch: 92, Total: 0.60, CE: 0.56, Adapter: 0.066, Wd: 0.03 
Epoch: 93, Total: 0.60, CE: 0.56, Adapter: 0.066, Wd: 0.03 
Epoch: 94, Total: 0.60, CE: 0.56, Adapter: 0.066, Wd: 0.03 
Epoch: 95, Total: 0.60, CE: 0.56, Adapter: 0.067, Wd: 0.03 
Epoch: 96, Total: 0.60, CE: 0.56, Adapter: 0.067, Wd: 0.03 
Epoch: 97, Total: 0.60, CE: 0.56, Adapter: 0.067, Wd: 0.03 
Epoch: 98, Total: 0.60, CE: 0.56, Adapter: 0.067, Wd: 0.03 
Epoch: 99, Total: 0.60, CE: 0.56, Adapter: 0.068, Wd: 0.03 
Epoch: 100, Total: 0.60, CE: 0.56, Adapter: 0.068, Wd: 0.03 
Epoch: 101, Total: 0.60, CE: 0.56, Adapter: 0.068, Wd: 0.03 
Epoch: 102, Total: 0.60, CE: 0.56, Adapter: 0.068, Wd: 0.03 
Epoch: 103, Total: 0.60, CE: 0.56, Adapter: 0.069, Wd: 0.03 
Epoch: 104, Total: 0.60, CE: 0.56, Adapter: 0.069, Wd: 0.03 
Epoch: 105, Total: 0.60, CE: 0.56, Adapter: 0.069, Wd: 0.03 
Epoch: 106, Total: 0.59, CE: 0.56, Adapter: 0.069, Wd: 0.03 
Epoch: 107, Total: 0.59, CE: 0.56, Adapter: 0.070, Wd: 0.03 
Epoch: 108, Total: 0.59, CE: 0.55, Adapter: 0.070, Wd: 0.03 
Epoch: 109, Total: 0.59, CE: 0.55, Adapter: 0.070, Wd: 0.03 
Epoch: 110, Total: 0.59, CE: 0.55, Adapter: 0.070, Wd: 0.03 
Epoch: 111, Total: 0.59, CE: 0.55, Adapter: 0.070, Wd: 0.03 
Epoch: 112, Total: 0.59, CE: 0.55, Adapter: 0.070, Wd: 0.03 
Epoch: 113, Total: 0.59, CE: 0.55, Adapter: 0.071, Wd: 0.03 
Epoch: 114, Total: 0.59, CE: 0.55, Adapter: 0.071, Wd: 0.03 
Epoch: 115, Total: 0.59, CE: 0.55, Adapter: 0.071, Wd: 0.03 
Epoch: 116, Total: 0.59, CE: 0.55, Adapter: 0.071, Wd: 0.03 
Epoch: 117, Total: 0.59, CE: 0.55, Adapter: 0.071, Wd: 0.03 
Epoch: 118, Total: 0.59, CE: 0.55, Adapter: 0.072, Wd: 0.03 
Epoch: 119, Total: 0.59, CE: 0.55, Adapter: 0.072, Wd: 0.03 
Epoch: 120, Total: 0.59, CE: 0.55, Adapter: 0.072, Wd: 0.03 
Epoch: 121, Total: 0.59, CE: 0.55, Adapter: 0.072, Wd: 0.03 
Epoch: 122, Total: 0.59, CE: 0.55, Adapter: 0.072, Wd: 0.03 
Epoch: 123, Total: 0.59, CE: 0.55, Adapter: 0.072, Wd: 0.03 
Epoch: 124, Total: 0.59, CE: 0.55, Adapter: 0.072, Wd: 0.03 
Epoch: 125, Total: 0.59, CE: 0.55, Adapter: 0.073, Wd: 0.03 
Epoch: 126, Total: 0.59, CE: 0.55, Adapter: 0.073, Wd: 0.03 
Epoch: 127, Total: 0.59, CE: 0.55, Adapter: 0.073, Wd: 0.03 
Epoch: 128, Total: 0.59, CE: 0.55, Adapter: 0.073, Wd: 0.03 
Epoch: 129, Total: 0.59, CE: 0.55, Adapter: 0.073, Wd: 0.03 
Epoch: 130, Total: 0.59, CE: 0.55, Adapter: 0.073, Wd: 0.03 
Epoch: 131, Total: 0.59, CE: 0.54, Adapter: 0.073, Wd: 0.03 
Epoch: 132, Total: 0.59, CE: 0.54, Adapter: 0.074, Wd: 0.03 
Epoch: 133, Total: 0.58, CE: 0.54, Adapter: 0.074, Wd: 0.03 
Epoch: 134, Total: 0.58, CE: 0.54, Adapter: 0.074, Wd: 0.03 
Epoch: 135, Total: 0.58, CE: 0.54, Adapter: 0.074, Wd: 0.03 
Epoch: 136, Total: 0.58, CE: 0.54, Adapter: 0.074, Wd: 0.03 
Epoch: 137, Total: 0.58, CE: 0.54, Adapter: 0.074, Wd: 0.03 
Epoch: 138, Total: 0.58, CE: 0.54, Adapter: 0.074, Wd: 0.03 
Epoch: 139, Total: 0.58, CE: 0.54, Adapter: 0.075, Wd: 0.03 
Epoch: 140, Total: 0.58, CE: 0.54, Adapter: 0.075, Wd: 0.03 
Epoch: 141, Total: 0.58, CE: 0.54, Adapter: 0.075, Wd: 0.03 
Epoch: 142, Total: 0.58, CE: 0.54, Adapter: 0.075, Wd: 0.03 
Epoch: 143, Total: 0.58, CE: 0.54, Adapter: 0.075, Wd: 0.03 
Epoch: 144, Total: 0.58, CE: 0.54, Adapter: 0.075, Wd: 0.03 
Epoch: 145, Total: 0.58, CE: 0.54, Adapter: 0.075, Wd: 0.03 
Epoch: 146, Total: 0.58, CE: 0.54, Adapter: 0.075, Wd: 0.03 
Epoch: 147, Total: 0.58, CE: 0.54, Adapter: 0.075, Wd: 0.03 
Epoch: 148, Total: 0.58, CE: 0.54, Adapter: 0.076, Wd: 0.03 
Epoch: 149, Total: 0.58, CE: 0.54, Adapter: 0.076, Wd: 0.03 
Epoch: 150, Total: 0.58, CE: 0.54, Adapter: 0.076, Wd: 0.03 
Epoch: 151, Total: 0.58, CE: 0.54, Adapter: 0.076, Wd: 0.03 
Epoch: 152, Total: 0.58, CE: 0.54, Adapter: 0.076, Wd: 0.03 
Epoch: 153, Total: 0.58, CE: 0.54, Adapter: 0.076, Wd: 0.03 
Epoch: 154, Total: 0.58, CE: 0.54, Adapter: 0.076, Wd: 0.03 
Epoch: 155, Total: 0.58, CE: 0.54, Adapter: 0.076, Wd: 0.03 
Epoch: 156, Total: 0.58, CE: 0.54, Adapter: 0.076, Wd: 0.03 
Epoch: 157, Total: 0.58, CE: 0.54, Adapter: 0.076, Wd: 0.03 
Epoch: 158, Total: 0.58, CE: 0.54, Adapter: 0.076, Wd: 0.03 
Epoch: 159, Total: 0.58, CE: 0.54, Adapter: 0.077, Wd: 0.03 
Epoch: 160, Total: 0.58, CE: 0.54, Adapter: 0.077, Wd: 0.03 
Epoch: 161, Total: 0.58, CE: 0.54, Adapter: 0.077, Wd: 0.03 
Epoch: 162, Total: 0.58, CE: 0.54, Adapter: 0.077, Wd: 0.04 
Epoch: 163, Total: 0.58, CE: 0.53, Adapter: 0.077, Wd: 0.04 
Epoch: 164, Total: 0.58, CE: 0.53, Adapter: 0.077, Wd: 0.04 
Epoch: 165, Total: 0.58, CE: 0.53, Adapter: 0.077, Wd: 0.04 
Epoch: 166, Total: 0.58, CE: 0.53, Adapter: 0.077, Wd: 0.04 
Epoch: 167, Total: 0.58, CE: 0.53, Adapter: 0.077, Wd: 0.04 
Epoch: 168, Total: 0.58, CE: 0.53, Adapter: 0.077, Wd: 0.04 
Epoch: 169, Total: 0.58, CE: 0.53, Adapter: 0.077, Wd: 0.04 
Epoch: 170, Total: 0.58, CE: 0.53, Adapter: 0.077, Wd: 0.04 
Epoch: 171, Total: 0.58, CE: 0.53, Adapter: 0.078, Wd: 0.04 
Epoch: 172, Total: 0.58, CE: 0.53, Adapter: 0.078, Wd: 0.04 
Epoch: 173, Total: 0.58, CE: 0.53, Adapter: 0.078, Wd: 0.04 
Epoch: 174, Total: 0.58, CE: 0.53, Adapter: 0.078, Wd: 0.04 
Epoch: 175, Total: 0.58, CE: 0.53, Adapter: 0.078, Wd: 0.04 
Epoch: 176, Total: 0.58, CE: 0.53, Adapter: 0.078, Wd: 0.04 
Epoch: 177, Total: 0.57, CE: 0.53, Adapter: 0.078, Wd: 0.04 
Epoch: 178, Total: 0.57, CE: 0.53, Adapter: 0.078, Wd: 0.04 
Epoch: 179, Total: 0.57, CE: 0.53, Adapter: 0.078, Wd: 0.04 
Epoch: 180, Total: 0.57, CE: 0.53, Adapter: 0.078, Wd: 0.04 
Epoch: 181, Total: 0.57, CE: 0.53, Adapter: 0.078, Wd: 0.04 
Epoch: 182, Total: 0.57, CE: 0.53, Adapter: 0.078, Wd: 0.04 
Epoch: 183, Total: 0.57, CE: 0.53, Adapter: 0.078, Wd: 0.04 
Epoch: 184, Total: 0.57, CE: 0.53, Adapter: 0.078, Wd: 0.04 
Epoch: 185, Total: 0.57, CE: 0.53, Adapter: 0.078, Wd: 0.04 
Epoch: 186, Total: 0.57, CE: 0.53, Adapter: 0.079, Wd: 0.04 
Epoch: 187, Total: 0.57, CE: 0.53, Adapter: 0.079, Wd: 0.04 
Epoch: 188, Total: 0.57, CE: 0.53, Adapter: 0.079, Wd: 0.04 
Epoch: 189, Total: 0.57, CE: 0.53, Adapter: 0.079, Wd: 0.04 
Epoch: 190, Total: 0.57, CE: 0.53, Adapter: 0.079, Wd: 0.04 
Epoch: 191, Total: 0.57, CE: 0.53, Adapter: 0.079, Wd: 0.04 
Epoch: 192, Total: 0.57, CE: 0.53, Adapter: 0.079, Wd: 0.04 
Epoch: 193, Total: 0.57, CE: 0.53, Adapter: 0.079, Wd: 0.04 
Epoch: 194, Total: 0.57, CE: 0.53, Adapter: 0.079, Wd: 0.04 
Epoch: 195, Total: 0.57, CE: 0.53, Adapter: 0.079, Wd: 0.04 
Epoch: 196, Total: 0.57, CE: 0.53, Adapter: 0.079, Wd: 0.04 
Epoch: 197, Total: 0.57, CE: 0.53, Adapter: 0.079, Wd: 0.04 
Epoch: 198, Total: 0.57, CE: 0.53, Adapter: 0.079, Wd: 0.04 
Epoch: 199, Total: 0.57, CE: 0.53, Adapter: 0.079, Wd: 0.04 
Epoch: 200, Total: 0.57, CE: 0.53, Adapter: 0.079, Wd: 0.04 
Epoch: 201, Total: 0.57, CE: 0.53, Adapter: 0.079, Wd: 0.04 
Epoch: 202, Total: 0.57, CE: 0.53, Adapter: 0.079, Wd: 0.04 
Epoch: 203, Total: 0.57, CE: 0.53, Adapter: 0.079, Wd: 0.04 
Epoch: 204, Total: 0.57, CE: 0.53, Adapter: 0.080, Wd: 0.04 
Epoch: 205, Total: 0.57, CE: 0.53, Adapter: 0.080, Wd: 0.04 
Epoch: 206, Total: 0.57, CE: 0.53, Adapter: 0.080, Wd: 0.04 
Epoch: 207, Total: 0.57, CE: 0.53, Adapter: 0.080, Wd: 0.04 
Epoch: 208, Total: 0.57, CE: 0.53, Adapter: 0.080, Wd: 0.04 
Epoch: 209, Total: 0.57, CE: 0.53, Adapter: 0.080, Wd: 0.04 
Epoch: 210, Total: 0.57, CE: 0.53, Adapter: 0.080, Wd: 0.04 
Epoch: 211, Total: 0.57, CE: 0.53, Adapter: 0.080, Wd: 0.04 
Epoch: 212, Total: 0.57, CE: 0.53, Adapter: 0.080, Wd: 0.04 
Epoch: 213, Total: 0.57, CE: 0.53, Adapter: 0.080, Wd: 0.04 
Epoch: 214, Total: 0.57, CE: 0.52, Adapter: 0.080, Wd: 0.04 
Epoch: 215, Total: 0.57, CE: 0.52, Adapter: 0.080, Wd: 0.04 
Epoch: 216, Total: 0.57, CE: 0.52, Adapter: 0.080, Wd: 0.04 
Epoch: 217, Total: 0.57, CE: 0.52, Adapter: 0.080, Wd: 0.04 
Epoch: 218, Total: 0.57, CE: 0.52, Adapter: 0.080, Wd: 0.04 
Epoch: 219, Total: 0.57, CE: 0.52, Adapter: 0.080, Wd: 0.04 
Epoch: 220, Total: 0.57, CE: 0.52, Adapter: 0.080, Wd: 0.04 
Epoch: 221, Total: 0.57, CE: 0.52, Adapter: 0.080, Wd: 0.04 
Epoch: 222, Total: 0.57, CE: 0.52, Adapter: 0.080, Wd: 0.04 
Epoch: 223, Total: 0.57, CE: 0.52, Adapter: 0.080, Wd: 0.04 
Epoch: 224, Total: 0.57, CE: 0.52, Adapter: 0.080, Wd: 0.04 
Epoch: 225, Total: 0.57, CE: 0.52, Adapter: 0.081, Wd: 0.04 
Epoch: 226, Total: 0.57, CE: 0.52, Adapter: 0.081, Wd: 0.04 
Epoch: 227, Total: 0.57, CE: 0.52, Adapter: 0.081, Wd: 0.04 
Epoch: 228, Total: 0.57, CE: 0.52, Adapter: 0.081, Wd: 0.04 
Epoch: 229, Total: 0.57, CE: 0.52, Adapter: 0.081, Wd: 0.04 
Epoch: 230, Total: 0.57, CE: 0.52, Adapter: 0.081, Wd: 0.04 
Epoch: 231, Total: 0.57, CE: 0.52, Adapter: 0.081, Wd: 0.04 
Epoch: 232, Total: 0.57, CE: 0.52, Adapter: 0.081, Wd: 0.04 
Epoch: 233, Total: 0.57, CE: 0.52, Adapter: 0.081, Wd: 0.04 
Epoch: 234, Total: 0.57, CE: 0.52, Adapter: 0.081, Wd: 0.04 
Epoch: 235, Total: 0.57, CE: 0.52, Adapter: 0.081, Wd: 0.04 
Epoch: 236, Total: 0.57, CE: 0.52, Adapter: 0.081, Wd: 0.04 
Epoch: 237, Total: 0.57, CE: 0.52, Adapter: 0.081, Wd: 0.04 
Epoch: 238, Total: 0.57, CE: 0.52, Adapter: 0.081, Wd: 0.04 
Epoch: 239, Total: 0.57, CE: 0.52, Adapter: 0.081, Wd: 0.04 
